date,londonHospitalCases,eastOfEnglandHospitalCases,midlandsHospitalCases,northEastYorkshireHospitalCases,northWestHospitalCases,southEastHospitalCases,southWestHospitalCases
15/01/2021,7811,4266,5890,3584,4039,5528,2244
14/01/2021,7840,4303,5799,3455,3912,5487,2129
13/01/2021,7686,4306,5741,3476,3849,5577,2054
12/01/2021,7606,4260,5630,3429,3785,5546,1946
11/01/2021,7799,4219,5524,3392,3733,5467,1936
10/01/2021,7494,4112,5294,3228,3465,5373,1792
09/01/2021,7224,4012,5136,2917,3332,5161,1680
08/01/2021,7277,4013,4934,3217,3238,5074,1593
07/01/2021,7231,3887,4521,2923,3104,5023,1557
06/01/2021,7034,3802,4629,2865,2996,4902,1499
05/01/2021,6816,3520,4553,2860,2925,4379,1414
04/01/2021,6733,3623,4499,2828,2812,4730,1401
03/01/2021,6358,3395,4065,2710,2605,4501,1323
02/01/2021,5861,3236,3959,2624,2410,4231,1236
01/01/2021,5511,2910,3808,2532,2540,4034,1199
31/12/2020,5685,2788,3944,2562,2550,4022,1177
30/12/2020,5524,3111,3876,2573,2514,3949,1166
29/12/2020,5371,2922,3694,2528,2352,3796,1124
28/12/2020,4957,2524,3515,2437,2346,3544,1103
27/12/2020,4591,2375,3329,2328,2226,3370,1058
26/12/2020,4276,2269,3233,2257,2144,3126,1045
25/12/2020,4019,2162,3228,2233,2103,2925,1031
24/12/2020,3966,2186,3368,2359,2245,2997,1106
23/12/2020,3578,2085,3405,2457,2333,2868,1108
22/12/2020,3559,2205,3447,2496,2406,2848,1102
21/12/2020,3367,2163,3389,2530,2399,2749,1112
20/12/2020,3067,1954,3203,2464,2315,2554,1076
19/12/2020,2909,1943,3293,2413,2253,2321,1051
18/12/2020,2726,1802,3289,2396,2255,2372,1026
17/12/2020,2607,1770,3292,2494,2271,2282,1025
16/12/2020,2543,1734,3191,2505,2276,2195,1021
15/12/2020,2482,1502,3097,2482,2322,2141,1005
14/12/2020,2330,1506,3286,2483,2325,2118,1005
13/12/2020,2212,1432,3276,2353,2266,1975,946
12/12/2020,2092,1407,3076,2309,2255,1945,843
11/12/2020,2031,1327,3107,2386,2278,1859,913
10/12/2020,1934,1301,3135,2442,2287,1796,901
09/12/2020,1787,1194,3103,2526,2218,1726,913
08/12/2020,1849,1155,3128,2566,2332,1692,907
07/12/2020,1822,1149,3109,2617,2388,1619,912
06/12/2020,1766,1108,3087,2545,2247,1549,887
05/12/2020,1710,1064,3021,2498,2302,1496,877
04/12/2020,1659,1072,2967,2590,2368,1426,905
03/12/2020,1685,1035,2843,2551,2434,1442,906
02/12/2020,1637,1014,3054,2732,2368,1481,926
01/12/2020,1701,997,3084,2814,2517,1423,971
30/11/2020,1677,991,3130,2876,2572,1494,1016
29/11/2020,1663,948,3120,2862,2510,1430,988
28/11/2020,1635,961,3079,2859,2355,1420,899
27/11/2020,1674,969,3203,2932,2551,1429,996
26/11/2020,1643,969,3245,3030,2607,1397,1017
25/11/2020,1611,957,3378,3137,2700,1437,1020
24/11/2020,1626,977,3406,3245,2811,1403,1038
23/11/2020,1675,956,3414,3437,2810,1395,1025
22/11/2020,1605,902,3401,3353,2794,1313,986
21/11/2020,1591,904,3320,3270,2769,1300,964
20/11/2020,1576,895,3329,3297,2859,1272,1008
19/11/2020,1551,889,3425,3342,3025,1246,1001
18/11/2020,1519,881,3395,3417,3061,1227,990
17/11/2020,1520,891,3335,3472,3097,1205,891
16/11/2020,1474,856,3274,3473,3158,1182,896
15/11/2020,1390,820,3183,3327,3063,1173,930
14/11/2020,1357,783,3126,3109,3011,1122,891
13/11/2020,1298,767,3039,3268,3042,1066,848
12/11/2020,1269,718,2948,3228,3023,967,814
11/11/2020,1223,709,2805,3141,3044,1011,797
10/11/2020,1211,672,2605,2946,2876,958,765
09/11/2020,1210,650,2634,3057,3042,947,719
08/11/2020,1114,636,2545,2934,2953,820,678
07/11/2020,1108,608,2453,3012,2883,821,629
06/11/2020,1085,620,2345,2798,2968,783,582
05/11/2020,1102,611,2339,2802,2815,770,555
04/11/2020,1132,595,2332,2732,2956,751,539
03/11/2020,1111,598,2350,2721,2946,711,534
02/11/2020,1067,555,2044,2624,2883,713,511
01/11/2020,1032,527,1929,2209,2800,665,461
31/10/2020,963,505,2010,2482,2752,617,453
30/10/2020,945,501,1950,2299,2593,589,418
29/10/2020,921,476,1871,2216,2676,566,401
28/10/2020,933,474,1935,2204,2603,541,380
27/10/2020,889,454,1700,2116,2566,528,342
26/10/2020,815,419,1330,2004,2495,483,310
25/10/2020,762,406,1449,1851,2396,477,271
24/10/2020,722,356,1379,1730,2269,456,264
23/10/2020,698,343,1301,1638,2200,405,257
22/10/2020,606,334,1230,1574,2017,339,245
21/10/2020,633,314,1148,1496,2097,358,225
20/10/2020,610,295,1090,1436,2099,325,217
19/10/2020,594,277,1003,1362,1884,326,198
18/10/2020,542,241,905,1269,1849,228,168
17/10/2020,502,241,872,1200,1772,279,163
16/10/2020,490,223,843,1169,1710,263,156
15/10/2020,439,217,796,1147,1610,233,127
14/10/2020,430,183,707,1092,1554,225,122
13/10/2020,442,166,667,1054,1460,204,112
12/10/2020,389,149,661,1025,1304,189,110
11/10/2020,365,140,611,940,1274,175,99
10/10/2020,341,135,549,874,1213,163,94
09/10/2020,348,135,548,804,1158,162,83
08/10/2020,343,119,522,836,1146,144,69
07/10/2020,350,128,517,790,1077,134,70
06/10/2020,320,119,495,741,1043,121,64
05/10/2020,326,115,479,673,930,119,63
04/10/2020,287,98,447,586,852,108,57
03/10/2020,280,101,417,584,758,100,50
02/10/2020,276,93,415,544,704,109,39
01/10/2020,275,79,391,502,688,98,36
30/09/2020,278,86,374,474,686,103,35
29/09/2020,275,89,379,429,637,103,42
28/09/2020,267,76,382,444,631,117,38
27/09/2020,224,64,369,420,562,114,40
26/09/2020,200,52,345,393,560,102,37
25/09/2020,230,45,346,379,540,110,36
24/09/2020,219,41,304,337,506,104,35
23/09/2020,210,37,286,313,461,94,38
22/09/2020,210,42,278,303,424,87,34
21/09/2020,190,41,265,285,398,91,29
20/09/2020,171,38,248,254,359,79,25
19/09/2020,161,39,221,226,340,74,20
18/09/2020,150,37,206,214,315,82,16
17/09/2020,147,42,187,208,314,72,14
16/09/2020,137,40,189,188,292,64,19
15/09/2020,136,35,198,155,274,78,15
14/09/2020,123,25,164,155,257,71,17
13/09/2020,100,21,151,143,198,61,17
12/09/2020,98,20,132,130,201,63,19
