date,newCasesBySpecimenDateEastMidlands,newCasesBySpecimenDateEastOfEngland,newCasesBySpecimenDateLondon,newCasesBySpecimenDateNorthEast,newCasesBySpecimenDateNorthWest,newCasesBySpecimenDateSouthEast,newCasesBySpecimenDateSouthWest,newCasesBySpecimenDateWestMidlands,newCasesBySpecimenDateYorkshire
07/01/2021,178,295,979,62,611,413,180,249,236
06/01/2021,2153,3246,4394,961,2323,3519,1786,3564,1897
05/01/2021,2665,4601,9862,1515,6285,7669,3316,4551,2436
04/01/2021,4090,5953,16013,2208,8076,11727,4057,6784,3379
03/01/2021,2958,7134,12950,1622,6527,8284,2780,4821,2397
02/01/2021,3393,9275,13497,1722,6886,9476,3018,5632,2727
01/01/2021,1658,6463,6706,933,2845,5525,1827,2998,1474
31/12/2020,2965,7274,12340,1524,5197,8442,2587,4532,2156
30/12/2020,3609,4014,17275,2203,6421,12081,3183,5870,2936
29/12/2020,3953,6466,19800,2375,6617,14646,4113,6076,3207
28/12/2020,2487,8738,10650,1390,3592,7896,2435,3133,2117
27/12/2020,2394,11108,13138,1251,3523,8005,2224,3150,1950
26/12/2020,1861,5944,11843,963,2650,7344,1824,2595,1659
25/12/2020,695,6548,4327,308,914,2468,568,1010,587
24/12/2020,1433,5737,9405,765,2299,5707,1127,2116,1246
23/12/2020,2007,1732,12353,1057,2876,7012,1773,2724,1623
22/12/2020,2073,4339,13312,1135,2813,8350,1797,2810,1869
21/12/2020,2390,5876,13217,1008,3060,8901,1948,2974,1980
20/12/2020,1692,6352,8876,742,1951,5999,1266,2215,1414
19/12/2020,1333,6691,7141,606,1658,3967,775,1608,1017
18/12/2020,1700,4600,10756,785,2097,6241,1245,2074,1450
17/12/2020,1680,3395,10129,629,1950,5912,1115,2122,1173
16/12/2020,1683,5133,9907,814,2033,6029,1328,2066,1225
15/12/2020,1720,4618,8815,889,2123,6036,1221,2243,1492
14/12/2020,2041,4718,8304,876,2237,5996,1259,2387,1720
13/12/2020,1045,4344,5498,572,1322,3686,816,1322,1028
12/12/2020,1029,4428,4654,508,1258,3290,665,1339,948
11/12/2020,1434,2748,5465,652,1646,4073,811,1744,1233
10/12/2020,1430,2244,4993,647,1649,3583,868,1683,1220
09/12/2020,1412,2688,4411,645,1598,3234,819,1656,1336
