date,deathsEastMidlands,deathsEastOfEngland,deathsLondon,deathsNorthEast,deathsNorthWest,deathsSouthEast,deathsSouthWest,deathsWestMidlands,deathsYorkshire,,,,,,,,,,,
07/01/2021,15,27,48,6,16,36,18,21,15,,,,,,,,,,,
06/01/2021,42,66,97,20,69,114,31,61,32,,,,,,,,,,,
05/01/2021,48,88,119,23,63,127,34,64,32,,,,,,,,,,,
04/01/2021,46,93,132,19,47,139,44,59,34,,,,,,,,,,,
03/01/2021,35,68,109,15,60,110,28,46,36,,,,,,,,,,,
02/01/2021,43,85,116,16,51,108,32,54,44,,,,,,,,,,,
01/01/2021,34,84,105,25,53,92,30,51,42,,,,,,,,,,,
31/12/2020,44,84,111,15,59,112,31,50,35,,,,,,,,,,,
30/12/2020,51,76,104,17,56,129,22,64,28,,,,,,,,,,,
29/12/2020,46,82,103,23,60,112,31,51,45,,,,,,,,,,,
28/12/2020,30,60,87,31,75,115,26,44,46,,,,,,,,,,,
27/12/2020,44,78,94,31,54,127,36,51,48,,,,,,,,,,,
26/12/2020,45,75,91,31,59,104,27,61,41,,,,,,,,,,,
25/12/2020,41,74,78,18,59,114,30,53,43,,,,,,,,,,,
24/12/2020,31,72,62,22,67,89,27,53,35,,,,,,,,,,,
23/12/2020,44,53,63,24,59,99,19,45,43,,,,,,,,,,,
22/12/2020,48,69,70,26,52,95,25,56,46,,,,,,,,,,,
21/12/2020,56,61,58,17,55,105,26,52,38,,,,,,,,,,,
20/12/2020,47,61,50,24,47,82,20,46,40,,,,,,,,,,,
19/12/2020,37,53,46,23,50,73,27,46,36,,,,,,,,,,,
18/12/2020,58,43,41,31,52,60,18,59,52,,,,,,,,,,,
17/12/2020,50,42,58,21,36,81,32,54,52,,,,,,,,,,,
16/12/2020,42,38,31,12,48,77,21,48,38,,,,,,,,,,,
15/12/2020,43,38,43,17,46,69,30,49,44,,,,,,,,,,,
14/12/2020,56,36,37,29,58,65,31,49,42,,,,,,,,,,,
13/12/2020,40,32,28,16,49,64,25,54,47,,,,,,,,,,,
12/12/2020,53,49,42,20,62,55,16,51,42,,,,,,,,,,,
11/12/2020,46,37,27,20,46,67,30,51,56,,,,,,,,,,,
10/12/2020,41,36,27,27,54,50,31,53,52,,,,,,,,,,,
