date,areaType,areaCode,areaName,newCasesBySpecimenDate,newDeaths28DaysByDeathDate
07/01/2021,region,E12000004,East Midlands,178,15
06/01/2021,region,E12000004,East Midlands,2153,42
05/01/2021,region,E12000004,East Midlands,2665,48
04/01/2021,region,E12000004,East Midlands,4090,46
03/01/2021,region,E12000004,East Midlands,2958,35
02/01/2021,region,E12000004,East Midlands,3393,43
01/01/2021,region,E12000004,East Midlands,1658,34
31/12/2020,region,E12000004,East Midlands,2965,44
30/12/2020,region,E12000004,East Midlands,3609,51
29/12/2020,region,E12000004,East Midlands,3953,46
28/12/2020,region,E12000004,East Midlands,2487,30
27/12/2020,region,E12000004,East Midlands,2394,44
26/12/2020,region,E12000004,East Midlands,1861,45
25/12/2020,region,E12000004,East Midlands,695,41
24/12/2020,region,E12000004,East Midlands,1433,31
23/12/2020,region,E12000004,East Midlands,2007,44
22/12/2020,region,E12000004,East Midlands,2073,48
21/12/2020,region,E12000004,East Midlands,2390,56
20/12/2020,region,E12000004,East Midlands,1692,47
19/12/2020,region,E12000004,East Midlands,1333,37
18/12/2020,region,E12000004,East Midlands,1700,58
17/12/2020,region,E12000004,East Midlands,1680,50
16/12/2020,region,E12000004,East Midlands,1683,42
15/12/2020,region,E12000004,East Midlands,1720,43
14/12/2020,region,E12000004,East Midlands,2041,56
13/12/2020,region,E12000004,East Midlands,1045,40
12/12/2020,region,E12000004,East Midlands,1029,53
11/12/2020,region,E12000004,East Midlands,1434,46
10/12/2020,region,E12000004,East Midlands,1430,41
09/12/2020,region,E12000004,East Midlands,1412,42
07/01/2021,region,E12000001,North East,62,6
06/01/2021,region,E12000001,North East,961,20
05/01/2021,region,E12000001,North East,1515,23
08/12/2020,region,E12000004,East Midlands,1408,33
04/01/2021,region,E12000001,North East,2208,19
03/01/2021,region,E12000001,North East,1622,15
07/12/2020,region,E12000004,East Midlands,1567,49
02/01/2021,region,E12000001,North East,1722,16
06/12/2020,region,E12000004,East Midlands,955,46
01/01/2021,region,E12000001,North East,933,25
31/12/2020,region,E12000001,North East,1524,15
05/12/2020,region,E12000004,East Midlands,856,44
30/12/2020,region,E12000001,North East,2203,17
29/12/2020,region,E12000001,North East,2375,23
04/12/2020,region,E12000004,East Midlands,1096,50
28/12/2020,region,E12000001,North East,1390,31
