date,areaType,areaCode,areaName,newDeaths28DaysByDeathDate
30/12/2020,overview,K02000001,United Kingdom,510
29/12/2020,overview,K02000001,United Kingdom,540
28/12/2020,overview,K02000001,United Kingdom,546
27/12/2020,overview,K02000001,United Kingdom,535
26/12/2020,overview,K02000001,United Kingdom,544
25/12/2020,overview,K02000001,United Kingdom,508
24/12/2020,overview,K02000001,United Kingdom,498
23/12/2020,overview,K02000001,United Kingdom,501
22/12/2020,overview,K02000001,United Kingdom,510
21/12/2020,overview,K02000001,United Kingdom,537
20/12/2020,overview,K02000001,United Kingdom,480
19/12/2020,overview,K02000001,United Kingdom,457
18/12/2020,overview,K02000001,United Kingdom,489
17/12/2020,overview,K02000001,United Kingdom,524
16/12/2020,overview,K02000001,United Kingdom,429
15/12/2020,overview,K02000001,United Kingdom,449
14/12/2020,overview,K02000001,United Kingdom,476
13/12/2020,overview,K02000001,United Kingdom,411
12/12/2020,overview,K02000001,United Kingdom,435
11/12/2020,overview,K02000001,United Kingdom,444
10/12/2020,overview,K02000001,United Kingdom,447
09/12/2020,overview,K02000001,United Kingdom,427
08/12/2020,overview,K02000001,United Kingdom,435
07/12/2020,overview,K02000001,United Kingdom,419
06/12/2020,overview,K02000001,United Kingdom,414
05/12/2020,overview,K02000001,United Kingdom,391
04/12/2020,overview,K02000001,United Kingdom,470
03/12/2020,overview,K02000001,United Kingdom,471
02/12/2020,overview,K02000001,United Kingdom,381
01/12/2020,overview,K02000001,United Kingdom,402
30/11/2020,overview,K02000001,United Kingdom,420
29/11/2020,overview,K02000001,United Kingdom,458
28/11/2020,overview,K02000001,United Kingdom,460
27/11/2020,overview,K02000001,United Kingdom,419
26/11/2020,overview,K02000001,United Kingdom,434
25/11/2020,overview,K02000001,United Kingdom,481
24/11/2020,overview,K02000001,United Kingdom,456
23/11/2020,overview,K02000001,United Kingdom,463
22/11/2020,overview,K02000001,United Kingdom,474
21/11/2020,overview,K02000001,United Kingdom,460
20/11/2020,overview,K02000001,United Kingdom,451
19/11/2020,overview,K02000001,United Kingdom,461
18/11/2020,overview,K02000001,United Kingdom,487
17/11/2020,overview,K02000001,United Kingdom,440
16/11/2020,overview,K02000001,United Kingdom,423
15/11/2020,overview,K02000001,United Kingdom,450
14/11/2020,overview,K02000001,United Kingdom,428
13/11/2020,overview,K02000001,United Kingdom,433
12/11/2020,overview,K02000001,United Kingdom,418
11/11/2020,overview,K02000001,United Kingdom,387
10/11/2020,overview,K02000001,United Kingdom,387
09/11/2020,overview,K02000001,United Kingdom,480
08/11/2020,overview,K02000001,United Kingdom,414
07/11/2020,overview,K02000001,United Kingdom,387
06/11/2020,overview,K02000001,United Kingdom,400
05/11/2020,overview,K02000001,United Kingdom,376
04/11/2020,overview,K02000001,United Kingdom,329
03/11/2020,overview,K02000001,United Kingdom,359
02/11/2020,overview,K02000001,United Kingdom,330
01/11/2020,overview,K02000001,United Kingdom,356
31/10/2020,overview,K02000001,United Kingdom,320
30/10/2020,overview,K02000001,United Kingdom,338
29/10/2020,overview,K02000001,United Kingdom,310
28/10/2020,overview,K02000001,United Kingdom,283
27/10/2020,overview,K02000001,United Kingdom,266
26/10/2020,overview,K02000001,United Kingdom,277
25/10/2020,overview,K02000001,United Kingdom,248
24/10/2020,overview,K02000001,United Kingdom,213
23/10/2020,overview,K02000001,United Kingdom,222
22/10/2020,overview,K02000001,United Kingdom,234
21/10/2020,overview,K02000001,United Kingdom,222
20/10/2020,overview,K02000001,United Kingdom,194
19/10/2020,overview,K02000001,United Kingdom,191
18/10/2020,overview,K02000001,United Kingdom,159
17/10/2020,overview,K02000001,United Kingdom,176
16/10/2020,overview,K02000001,United Kingdom,147
15/10/2020,overview,K02000001,United Kingdom,151
14/10/2020,overview,K02000001,United Kingdom,115
13/10/2020,overview,K02000001,United Kingdom,110
12/10/2020,overview,K02000001,United Kingdom,112
11/10/2020,overview,K02000001,United Kingdom,123
10/10/2020,overview,K02000001,United Kingdom,103
09/10/2020,overview,K02000001,United Kingdom,79
08/10/2020,overview,K02000001,United Kingdom,92
07/10/2020,overview,K02000001,United Kingdom,102
06/10/2020,overview,K02000001,United Kingdom,69
