date,areaType,areaCode,areaName,newCasesBySpecimenDate,newDeaths28DaysByDeathDate
30/12/2020,overview,K02000001,United Kingdom,60224,510
29/12/2020,overview,K02000001,United Kingdom,79818,540
28/12/2020,overview,K02000001,United Kingdom,45257,546
27/12/2020,overview,K02000001,United Kingdom,47499,535
26/12/2020,overview,K02000001,United Kingdom,40261,544
25/12/2020,overview,K02000001,United Kingdom,14153,508
24/12/2020,overview,K02000001,United Kingdom,31793,498
23/12/2020,overview,K02000001,United Kingdom,42216,501
22/12/2020,overview,K02000001,United Kingdom,45551,510
21/12/2020,overview,K02000001,United Kingdom,47336,537
20/12/2020,overview,K02000001,United Kingdom,32465,480
19/12/2020,overview,K02000001,United Kingdom,25145,457
18/12/2020,overview,K02000001,United Kingdom,35834,489
17/12/2020,overview,K02000001,United Kingdom,33860,524
16/12/2020,overview,K02000001,United Kingdom,34861,429
15/12/2020,overview,K02000001,United Kingdom,33849,449
14/12/2020,overview,K02000001,United Kingdom,34696,476
13/12/2020,overview,K02000001,United Kingdom,21995,411
12/12/2020,overview,K02000001,United Kingdom,19360,435
11/12/2020,overview,K02000001,United Kingdom,24096,444
10/12/2020,overview,K02000001,United Kingdom,22637,447
09/12/2020,overview,K02000001,United Kingdom,21653,427
08/12/2020,overview,K02000001,United Kingdom,20805,435
07/12/2020,overview,K02000001,United Kingdom,21354,419
06/12/2020,overview,K02000001,United Kingdom,13608,414
05/12/2020,overview,K02000001,United Kingdom,12776,391
04/12/2020,overview,K02000001,United Kingdom,15663,470
03/12/2020,overview,K02000001,United Kingdom,15638,471
02/12/2020,overview,K02000001,United Kingdom,16441,381
01/12/2020,overview,K02000001,United Kingdom,16456,402
30/11/2020,overview,K02000001,United Kingdom,18019,420
29/11/2020,overview,K02000001,United Kingdom,10683,458
28/11/2020,overview,K02000001,United Kingdom,10956,460
27/11/2020,overview,K02000001,United Kingdom,14376,419
26/11/2020,overview,K02000001,United Kingdom,14584,434
