date,areaType,areaCode,areaName,newCasesBySpecimenDate
30/12/2020,overview,K02000001,United Kingdom,60224
29/12/2020,overview,K02000001,United Kingdom,79818
28/12/2020,overview,K02000001,United Kingdom,45257
27/12/2020,overview,K02000001,United Kingdom,47499
26/12/2020,overview,K02000001,United Kingdom,40261
25/12/2020,overview,K02000001,United Kingdom,14153
24/12/2020,overview,K02000001,United Kingdom,31793
23/12/2020,overview,K02000001,United Kingdom,42216
22/12/2020,overview,K02000001,United Kingdom,45551
21/12/2020,overview,K02000001,United Kingdom,47336
20/12/2020,overview,K02000001,United Kingdom,32465
19/12/2020,overview,K02000001,United Kingdom,25145
18/12/2020,overview,K02000001,United Kingdom,35834
17/12/2020,overview,K02000001,United Kingdom,33860
16/12/2020,overview,K02000001,United Kingdom,34861
15/12/2020,overview,K02000001,United Kingdom,33849
14/12/2020,overview,K02000001,United Kingdom,34696
13/12/2020,overview,K02000001,United Kingdom,21995
12/12/2020,overview,K02000001,United Kingdom,19360
11/12/2020,overview,K02000001,United Kingdom,24096
10/12/2020,overview,K02000001,United Kingdom,22637
09/12/2020,overview,K02000001,United Kingdom,21653
08/12/2020,overview,K02000001,United Kingdom,20805
07/12/2020,overview,K02000001,United Kingdom,21354
06/12/2020,overview,K02000001,United Kingdom,13608
05/12/2020,overview,K02000001,United Kingdom,12776
04/12/2020,overview,K02000001,United Kingdom,15663
03/12/2020,overview,K02000001,United Kingdom,15638
02/12/2020,overview,K02000001,United Kingdom,16441
01/12/2020,overview,K02000001,United Kingdom,16456
30/11/2020,overview,K02000001,United Kingdom,18019
29/11/2020,overview,K02000001,United Kingdom,10683
28/11/2020,overview,K02000001,United Kingdom,10956
27/11/2020,overview,K02000001,United Kingdom,14376
26/11/2020,overview,K02000001,United Kingdom,14584
25/11/2020,overview,K02000001,United Kingdom,16616
24/11/2020,overview,K02000001,United Kingdom,16467
23/11/2020,overview,K02000001,United Kingdom,18763
22/11/2020,overview,K02000001,United Kingdom,11741
21/11/2020,overview,K02000001,United Kingdom,12348
20/11/2020,overview,K02000001,United Kingdom,16849
19/11/2020,overview,K02000001,United Kingdom,17752
18/11/2020,overview,K02000001,United Kingdom,20751
17/11/2020,overview,K02000001,United Kingdom,23162
16/11/2020,overview,K02000001,United Kingdom,26572
15/11/2020,overview,K02000001,United Kingdom,16029
14/11/2020,overview,K02000001,United Kingdom,18000
13/11/2020,overview,K02000001,United Kingdom,24033
12/11/2020,overview,K02000001,United Kingdom,24454
11/11/2020,overview,K02000001,United Kingdom,27350
10/11/2020,overview,K02000001,United Kingdom,27407
09/11/2020,overview,K02000001,United Kingdom,31035
08/11/2020,overview,K02000001,United Kingdom,19950
07/11/2020,overview,K02000001,United Kingdom,18522
06/11/2020,overview,K02000001,United Kingdom,23317
05/11/2020,overview,K02000001,United Kingdom,23753
04/11/2020,overview,K02000001,United Kingdom,23677
03/11/2020,overview,K02000001,United Kingdom,25584
02/11/2020,overview,K02000001,United Kingdom,31507
01/11/2020,overview,K02000001,United Kingdom,15747
31/10/2020,overview,K02000001,United Kingdom,16497
30/10/2020,overview,K02000001,United Kingdom,22686
29/10/2020,overview,K02000001,United Kingdom,23347
28/10/2020,overview,K02000001,United Kingdom,23614
27/10/2020,overview,K02000001,United Kingdom,24107
26/10/2020,overview,K02000001,United Kingdom,26534
25/10/2020,overview,K02000001,United Kingdom,15721
24/10/2020,overview,K02000001,United Kingdom,16235
23/10/2020,overview,K02000001,United Kingdom,21486
22/10/2020,overview,K02000001,United Kingdom,23245
21/10/2020,overview,K02000001,United Kingdom,25466
20/10/2020,overview,K02000001,United Kingdom,25322
19/10/2020,overview,K02000001,United Kingdom,25589
18/10/2020,overview,K02000001,United Kingdom,14178
17/10/2020,overview,K02000001,United Kingdom,14763
16/10/2020,overview,K02000001,United Kingdom,17707
15/10/2020,overview,K02000001,United Kingdom,18431
14/10/2020,overview,K02000001,United Kingdom,19696
13/10/2020,overview,K02000001,United Kingdom,18904
12/10/2020,overview,K02000001,United Kingdom,19454
11/10/2020,overview,K02000001,United Kingdom,12074
10/10/2020,overview,K02000001,United Kingdom,12520
09/10/2020,overview,K02000001,United Kingdom,15738
08/10/2020,overview,K02000001,United Kingdom,18248
07/10/2020,overview,K02000001,United Kingdom,18333
06/10/2020,overview,K02000001,United Kingdom,17076
05/10/2020,overview,K02000001,United Kingdom,16560
04/10/2020,overview,K02000001,United Kingdom,11801
03/10/2020,overview,K02000001,United Kingdom,11556
02/10/2020,overview,K02000001,United Kingdom,13694
01/10/2020,overview,K02000001,United Kingdom,13189
30/09/2020,overview,K02000001,United Kingdom,12559
29/09/2020,overview,K02000001,United Kingdom,10245
28/09/2020,overview,K02000001,United Kingdom,9932
27/09/2020,overview,K02000001,United Kingdom,6973
26/09/2020,overview,K02000001,United Kingdom,6759
