date,ftse100,dowjones,nasdaq,,,,,,,
03/02/2020,100,100,100,,,,,,,
04/02/2020,102,101,102,,,,,,,
05/02/2020,102,103,103,,,,,,,
06/02/2020,102,103,103,,,,,,,
07/02/2020,102,102,103,,,,,,,
10/02/2020,102,103,104,,,,,,,
11/02/2020,102,103,104,,,,,,,
12/02/2020,103,104,105,,,,,,,
13/02/2020,102,104,105,,,,,,,
14/02/2020,101,104,105,,,,,,,
17/02/2020,101,103,105,,,,,,,
18/02/2020,101,103,106,,,,,,,
19/02/2020,102,103,105,,,,,,,
20/02/2020,102,102,103,,,,,,,
21/02/2020,101,98,99,,,,,,,
24/02/2020,98,95,97,,,,,,,
25/02/2020,96,95,97,,,,,,,
26/02/2020,96,91,92,,,,,,,
27/02/2020,93,89,92,,,,,,,
28/02/2020,90,94,97,,,,,,,
02/03/2020,91,91,94,,,,,,,
03/03/2020,92,95,97,,,,,,,
04/03/2020,93,92,94,,,,,,,
05/03/2020,92,91,92,,,,,,,
06/03/2020,88,84,86,,,,,,,
09/03/2020,81,88,90,,,,,,,
10/03/2020,81,83,86,,,,,,,
11/03/2020,80,75,78,,,,,,,
12/03/2020,71,82,85,,,,,,,
13/03/2020,73,71,74,,,,,,,
16/03/2020,70,75,79,,,,,,,
17/03/2020,72,70,75,,,,,,,
18/03/2020,69,71,77,,,,,,,
19/03/2020,70,68,74,,,,,,,
20/03/2020,71,65,74,,,,,,,
23/03/2020,68,73,80,,,,,,,
24/03/2020,74,75,80,,,,,,,
25/03/2020,78,79,84,,,,,,,
26/03/2020,79,76,81,,,,,,,
27/03/2020,75,79,84,,,,,,,
30/03/2020,76,77,83,,,,,,,
31/03/2020,77,74,79,,,,,,,
01/04/2020,74,75,81,,,,,,,
02/04/2020,75,74,80,,,,,,,
03/04/2020,74,80,85,,,,,,,
06/04/2020,76,80,85,,,,,,,
07/04/2020,78,83,87,,,,,,,
08/04/2020,78,84,88,,,,,,,
09/04/2020,80,82,88,,,,,,,
14/04/2020,79,84,92,,,,,,,
15/04/2020,76,83,91,,,,,,,
16/04/2020,77,83,92,,,,,,,
17/04/2020,79,85,93,,,,,,,
20/04/2020,79,83,92,,,,,,,
21/04/2020,77,81,89,,,,,,,
22/04/2020,79,83,92,,,,,,,
23/04/2020,80,83,92,,,,,,,
24/04/2020,79,84,93,,,,,,,
27/04/2020,80,85,94,,,,,,,
28/04/2020,81,85,93,,,,,,,
29/04/2020,83,87,96,,,,,,,
30/04/2020,81,86,96,,,,,,,
01/05/2020,79,84,93,,,,,,,
04/05/2020,79,84,94,,,,,,,
05/05/2020,80,84,95,,,,,,,
06/05/2020,80,83,95,,,,,,,
07/05/2020,81,84,97,,,,,,,
11/05/2020,81,86,98,,,,,,,
12/05/2020,82,85,99,,,,,,,
13/05/2020,81,84,97,,,,,,,
14/05/2020,78,82,96,,,,,,,
15/05/2020,79,83,96,,,,,,,
18/05/2020,83,83,97,,,,,,,
19/05/2020,82,87,100,,,,,,,
20/05/2020,83,85,99,,,,,,,
21/05/2020,82,87,101,,,,,,,
22/05/2020,82,86,100,,,,,,,
26/05/2020,83,86,101,,,,,,,
27/05/2020,84,88,101,,,,,,,
28/05/2020,85,90,102,,,,,,,
29/05/2020,83,89,101,,,,,,,
01/06/2020,84,89,102,,,,,,,
02/06/2020,85,90,103,,,,,,,
03/06/2020,87,91,104,,,,,,,
04/06/2020,87,92,104,,,,,,,
05/06/2020,89,93,104,,,,,,,
08/06/2020,88,95,106,,,,,,,
09/06/2020,86,97,107,,,,,,,
10/06/2020,86,96,107,,,,,,,
11/06/2020,83,95,108,,,,,,,
12/06/2020,83,88,102,,,,,,,
15/06/2020,83,90,103,,,,,,,
16/06/2020,85,91,105,,,,,,,
17/06/2020,85,93,107,,,,,,,
18/06/2020,85,92,107,,,,,,,
19/06/2020,86,92,107,,,,,,,
22/06/2020,85,91,107,,,,,,,
23/06/2020,86,92,108,,,,,,,
24/06/2020,84,92,109,,,,,,,
25/06/2020,84,90,107,,,,,,,
26/06/2020,84,91,108,,,,,,,
29/06/2020,85,88,105,,,,,,,
30/06/2020,84,90,106,,,,,,,
01/07/2020,84,91,108,,,,,,,
02/07/2020,85,91,110,,,,,,,
03/07/2020,84,91,110,,,,,,,
06/07/2020,86,93,113,,,,,,,
07/07/2020,84,91,112,,,,,,,
08/07/2020,84,92,113,,,,,,,
09/07/2020,83,91,114,,,,,,,
10/07/2020,83,92,114,,,,,,,
13/07/2020,84,92,112,,,,,,,
14/07/2020,84,94,113,,,,,,,
15/07/2020,86,95,114,,,,,,,
16/07/2020,85,94,113,,,,,,,
17/07/2020,86,94,113,,,,,,,
20/07/2020,85,94,116,,,,,,,
21/07/2020,86,95,115,,,,,,,
22/07/2020,85,95,115,,,,,,,
23/07/2020,85,94,113,,,,,,,
24/07/2020,84,93,112,,,,,,,
27/07/2020,83,94,114,,,,,,,
28/07/2020,84,93,112,,,,,,,
29/07/2020,84,93,114,,,,,,,
30/07/2020,82,93,114,,,,,,,
31/07/2020,81,93,116,,,,,,,
03/08/2020,82,94,118,,,,,,,
04/08/2020,82,94,118,,,,,,,
05/08/2020,83,96,119,,,,,,,
06/08/2020,82,96,120,,,,,,,
07/08/2020,82,97,119,,,,,,,
10/08/2020,83,98,118,,,,,,,
11/08/2020,84,97,116,,,,,,,
12/08/2020,86,99,119,,,,,,,
13/08/2020,84,98,119,,,,,,,
14/08/2020,83,98,119,,,,,,,
17/08/2020,84,98,120,,,,,,,
18/08/2020,83,98,121,,,,,,,
19/08/2020,83,98,120,,,,,,,
20/08/2020,82,98,121,,,,,,,
21/08/2020,82,98,122,,,,,,,
24/08/2020,83,100,123,,,,,,,
25/08/2020,82,99,124,,,,,,,
26/08/2020,83,100,126,,,,,,,
27/08/2020,82,100,125,,,,,,,
28/08/2020,81,101,126,,,,,,,
01/09/2020,80,100,127,,,,,,,
02/09/2020,81,101,129,,,,,,,
03/09/2020,80,102,130,,,,,,,
04/09/2020,79,100,124,,,,,,,
07/09/2020,81,99,122,,,,,,,
08/09/2020,81,97,117,,,,,,,
09/09/2020,82,98,120,,,,,,,
10/09/2020,82,97,118,,,,,,,
11/09/2020,82,97,117,,,,,,,
14/09/2020,82,99,119,,,,,,,
15/09/2020,83,99,121,,,,,,,
16/09/2020,83,99,119,,,,,,,
17/09/2020,83,98,118,,,,,,,
18/09/2020,82,97,116,,,,,,,
21/09/2020,79,96,116,,,,,,,
22/09/2020,80,96,118,,,,,,,
23/09/2020,81,94,115,,,,,,,
24/09/2020,79,94,115,,,,,,,
25/09/2020,80,96,118,,,,,,,
28/09/2020,81,97,120,,,,,,,
29/09/2020,81,97,120,,,,,,,
30/09/2020,80,98,120,,,,,,,
01/10/2020,80,98,122,,,,,,,
02/10/2020,81,97,119,,,,,,,
05/10/2020,81,99,122,,,,,,,
06/10/2020,81,98,120,,,,,,,
07/10/2020,81,100,123,,,,,,,
08/10/2020,82,100,123,,,,,,,
09/10/2020,82,101,125,,,,,,,
12/10/2020,82,102,128,,,,,,,
13/10/2020,81,101,128,,,,,,,
14/10/2020,81,100,127,,,,,,,
15/10/2020,80,100,126,,,,,,,
16/10/2020,81,101,126,,,,,,,
19/10/2020,80,99,124,,,,,,,
20/10/2020,80,100,124,,,,,,,
21/10/2020,79,99,124,,,,,,,
22/10/2020,79,100,124,,,,,,,
23/10/2020,80,100,125,,,,,,,
26/10/2020,79,97,122,,,,,,,
27/10/2020,78,97,123,,,,,,,
28/10/2020,76,93,119,,,,,,,
29/10/2020,76,94,121,,,,,,,
30/10/2020,76,93,118,,,,,,,
02/11/2020,77,95,118,,,,,,,
03/11/2020,79,97,120,,,,,,,
04/11/2020,80,98,125,,,,,,,
05/11/2020,81,100,128,,,,,,,
06/11/2020,81,100,128,,,,,,,
09/11/2020,84,103,126,,,,,,,
10/11/2020,86,104,125,,,,,,,
11/11/2020,87,104,127,,,,,,,
12/11/2020,87,102,126,,,,,,,
13/11/2020,86,104,128,,,,,,,
16/11/2020,88,105,129,,,,,,,
17/11/2020,87,105,128,,,,,,,
18/11/2020,87,104,127,,,,,,,
19/11/2020,86,104,128,,,,,,,
20/11/2020,87,103,128,,,,,,,
23/11/2020,86,104,128,,,,,,,
24/11/2020,88,106,130,,,,,,,
25/11/2020,87,105,130,,,,,,,
26/11/2020,87,105,132,,,,,,,
27/11/2020,87,104,132,,,,,,,
30/11/2020,86,105,133,,,,,,,
01/12/2020,87,105,133,,,,,,,
02/12/2020,88,106,133,,,,,,,
03/12/2020,89,106,134,,,,,,,
04/12/2020,89,106,135,,,,,,,
07/12/2020,89,106,136,,,,,,,
08/12/2020,90,106,133,,,,,,,
09/12/2020,90,106,134,,,,,,,
10/12/2020,90,106,133,,,,,,,
11/12/2020,89,105,134,,,,,,,
14/12/2020,89,106,136,,,,,,,
15/12/2020,89,106,137,,,,,,,
16/12/2020,90,107,138,,,,,,,
17/12/2020,89,106,138,,,,,,,
18/12/2020,89,106,137,,,,,,,
21/12/2020,88,106,138,,,,,,,
22/12/2020,88,106,138,,,,,,,
23/12/2020,89,106,138,,,,,,,
24/12/2020,89,107,139,,,,,,,
29/12/2020,90,107,139,,,,,,,
30/12/2020,89,107,139,,,,,,,
31/12/2020,88,108,139,,,,,,,
04/01/2021,90,106,137,,,,,,,
05/01/2021,90,107,138,,,,,,,
06/01/2021,93,109,137,,,,,,,
07/01/2021,94,109,141,,,,,,,
08/01/2021,94,109,142,,,,,,,
11/01/2021,93,109,141,,,,,,,
12/01/2021,92,109,141,,,,,,,
13/01/2021,92,109,142,,,,,,,
14/01/2021,93,109,141,,,,,,,
